ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,qc_log
U140,2015-05-23-J09-SO-30,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U181,2015-05-23-J09-SO-25,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U182,2015-05-23-J10-SO-10,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U183,2015-05-23-J10-SO-4,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U172,2015-05-22-J07-SO-29,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U174,2015-05-23-J10-SO-1,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U163,2015-05-23-J09-SO-21,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U164,2015-05-23-J09-SO-16,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U165,2015-05-23-J10-SO-14,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U166,2015-05-23-J10-SO-5,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U184,2015-05-23-J10-SO-2,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U185,2015-05-23-J10-SO-12,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U186,2015-05-23-J10-SO-15,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U187,2015-05-22-J07-SO-14,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U188,2015-05-22-J07-SO-4,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U189,2015-05-22-J07-SO-2,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U175,2015-05-23-J10-SO-11,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U176,2015-05-23-J10-SO-9,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U177,2015-05-23-J10-SO-7,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U178,2015-05-22-J07-SO-15,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U179,2015-05-22-J07-SO-7,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U167,2015-05-23-J10-SO-8,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U168,2015-05-23-J10-SO-13,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U169,2015-05-22-J07-SO-11,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U170,2015-05-22-J07-SO-6,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U191,2015-05-22-J07-SO-3,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U126,2015-05-23-J10-SO-3,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U180,2015-05-22-J07-SO-9,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U201,2015-05-22-J07-SO-8,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U202,2015-05-22-J07-SO-5,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U203,2015-05-22-J07-SO-1,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
