survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
JE196,2015-06-21,J06,"Lauren Portner, Carson White, Katie Chan",none,100,1,0.1-5,SE,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE197,2015-06-21,J05,"Lauren Portner, Carson White, Katie Chan",none,25,0,0.1-5,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE198,2015-06-21,J10,"Lauren Portner, Carson White, Katie Chan",none,0,1,0.1-5,NW,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE199,2015-06-23,J03,"Lauren Portner, Carson White, Dylan Smyth",none,0,0,0.1-5,NW,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE200,2015-06-23,J01,"Sean Godwin, Chris Guinchard, Andrew Bateman, Katie Pocock",none,0,0,0.1-5,N,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE201,2015-06-23,J02,"Sean Godwin, Chris Guinchard, Andrew Bateman",none,25,1,0.1-5,NW,NA,NA,NA,3,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE202,2015-06-23,J09,"Sean Godwin, Chris Guinchard, Andrew Bateman",none,50,0,0.1-5,N,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE203,2015-06-24,J06,"Sean Godwin, Samantha Crowley, Andrew Bateman",light,100,0,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE204,2015-06-24,J07,"Sean Godwin, Samantha Crowley, Andrew Bateman",none,100,0,0.1-5,NE,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE205,2015-06-24,J05,"Sean Godwin, Samantha Crowley, Andrew Bateman",moderate,100,0,0.1-5,SE,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE206,2015-06-24,J08,"Sean Godwin, Samantha Crowley, Andrew Bateman",moderate,100,2,0.1-5,NE,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE207,2015-06-27,J10,"Carson White, Dylan Smyth, Peter Harrington",none,100,0,0.1-5,S,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE208,2015-06-27,J01,"Carson White, Dylan Smyth, Peter Harrington",none,100,0,0.1-5,N,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE209,2015-06-27,J09,"Carson White, Dylan Smyth, Peter Harrington",none,0,0,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE210,2015-06-28,J02,"Carson White, Dylan Smyth, Peter Harrington",none,0,0,0,NA,NA,NA,NA,2,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE211,2015-06-28,J03,"Carson White, Dylan Smyth, Peter Harrington",none,0,1,5-10,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
