survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
,D26,,,15B102233,,2016-05-13 13:13:23 PDT,NA,,,,
,D04,,,15B102233,,2016-05-13 15:34:37 PDT,NA,,,,
,D07,,,15B102233,,2016-05-14 06:32:10 PDT,NA,,,,
,D24,,,15B102233,,2016-05-14 09:05:50 PDT,NA,,,,
,D08,,,15B102233,,2016-05-14 11:33:44 PDT,NA,,,,
,D09,,,15B102233,,2016-05-15 08:42:00 PDT,NA,,,,
,D22,,,15B102233,,2016-05-15 12:24:43 PDT,NA,,,,
,D23,,,15B102233,,2016-05-15 14:59:00 PDT,NA,,,,
,D23,,,15B102233,,2016-05-15 15:00:00 PDT,NA,,,,
,D11,,,15B102233,,2016-05-16 08:09:35 PDT,NA,,,,
,D21,,,15B102233,,2016-05-16 11:48:58 PDT,NA,,,,
,D20,,,15B102233,,2016-05-16 13:27:29 PDT,NA,,,,
,D25,,,15B102233,,2016-05-18 09:27:18 PDT,NA,,,,
,D26,,,15B102233,,2016-05-18 11:23:00 PDT,NA,,,,
,D04,,,15B102233,,2016-05-18 13:30:00 PDT,NA,,,,
,D08,,,15B102233,,2016-05-19 09:30:12 PDT,NA,,,,
,D24,,,15B102233,,2016-05-19 13:05:12 PDT,NA,,,,
,D07,,,15B102233,,2016-05-19 16:02:40 PDT,NA,,,,
,J05,,,15C100324,,2016-05-20 13:43:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J07,,,15C100324,,2016-05-20 15:00:00 PDT,YSI time estimated 15 min after time of set (no fish caught) (no data recorded). Added 2018-07-16 JG,,,,
,J06,,,15C100324,,2016-05-21 07:22:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J07,,,15C100324,,2016-05-21 10:58:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J04,,,15C100324,,2016-05-21 12:15:00 PDT,YSI time estimated 15 min after time of set (no fish caught) (no data recorded). Added 2018-07-16 JG,,,,
,J08,,,15C100324,,2016-05-21 16:35:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J09,,,15C100324,,2016-05-22 08:06:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J10,,,15C100324,,2016-05-22 10:21:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J02,,,15C100324,,2016-05-22 14:45:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-16 JG,,,,
,J01,,,15C100324,,2016-05-22 15:55:00 PDT,YSI time estimated 15 min after end of visual survey (no net set) (no data recorded). Added 2018-07-16 JG,,,,
,D09,,,15B102233,,2016-05-23 08:26:00 PDT,NA,,,,
,D27,,,15B102233,,2016-05-23 11:38:00 PDT,NA,,,,
,D22,,,15B102233,,2016-05-23 15:31:00 PDT,NA,,,,
,D11,,,15B102233,,2016-05-24 07:10:55 PDT,NA,,,,
,D21,,,15B102233,,2016-05-24 11:05:12 PDT,NA,,,,
,D20,,,15B102233,,2016-05-24 12:59:40 PDT,NA,,,,
,J08,,,15C101449,,2016-05-26 06:45:00 PDT,NA,,,,
,D08,,,15B102233,,2016-05-26 08:25:00 PDT,NA,,,,
,J04,,,15C101449,,2016-05-26 09:50:00 PDT,NA,,,,
,D24,,,15B102233,,2016-05-26 10:05:00 PDT,NA,,,,
,J05,,,15C101449,,2016-05-26 11:56:00 PDT,NA,,,,
,D07,,,15B102233,,2016-05-26 13:30:35 PDT,NA,,,,
,J06,,,15C101449,,2016-05-27 06:28:00 PDT,NA,,,,
