sample_type,sample_id,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
RNA_DNA,S528RD1,U528,NA,UBC_Hunt,AV,NA
RNA_DNA,S527RD1,U527,NA,UBC_Hunt,AV,NA
RNA_DNA,S526RD1,U526,NA,UBC_Hunt,AV,NA
RNA_DNA,S525RD1,U525,NA,UBC_Hunt,AV,NA
RNA_DNA,S524RD1,U524,NA,UBC_Hunt,AV,NA
RNA_DNA,S523RD1,U523,NA,UBC_Hunt,AV,NA
RNA_DNA,S522RD1,U522,NA,UBC_Hunt,AV,NA
RNA_DNA,S521RD1,U521,NA,UBC_Hunt,AV,NA
RNA_DNA,S532RD1,U532,NA,UBC_Hunt,AV,NA
RNA_DNA,S533RD1,U533,NA,UBC_Hunt,AV,NA
RNA_DNA,S534RD1,U534,NA,UBC_Hunt,AV,NA
RNA_DNA,S535RD1,U535,NA,UBC_Hunt,AV,NA
RNA_DNA,S536RD1,U536,NA,UBC_Hunt,AV,NA
RNA_DNA,S537RD1,U537,NA,UBC_Hunt,AV,NA
RNA_DNA,S538RD1,U538,NA,UBC_Hunt,AV,NA
RNA_DNA,S539RD1,U539,NA,UBC_Hunt,AV,NA
RNA_DNA,S546RD1,U546,NA,UBC_Hunt,AV,NA
RNA_DNA,S547RD1,U547,NA,UBC_Hunt,AV,NA
RNA_DNA,S548RD1,U548,NA,UBC_Hunt,AV,NA
RNA_DNA,S549RD1,U549,NA,UBC_Hunt,AV,NA
RNA_DNA,S550RD1,U550,NA,UBC_Hunt,AV,NA
RNA_DNA,S561RD1,U561,NA,UBC_Hunt,AV,NA
RNA_DNA,S562RD1,U562,NA,UBC_Hunt,AV,NA
RNA_DNA,S563RD1,U563,NA,UBC_Hunt,AV,NA
RNA_DNA,S556RD1,U556,NA,UBC_Hunt,AV,NA
RNA_DNA,S555RD1,U555,NA,UBC_Hunt,AV,NA
RNA_DNA,S554RD1,U554,NA,UBC_Hunt,AV,NA
RNA_DNA,S553RD1,U553,NA,UBC_Hunt,AV,NA
RNA_DNA,S552RD1,U552,NA,UBC_Hunt,AV,NA
RNA_DNA,S551RD1,U551,NA,UBC_Hunt,AV,NA
RNA_DNA,S530RD1,U530,NA,UBC_Hunt,AV,NA
RNA_DNA,S529RD1,U529,NA,UBC_Hunt,AV,NA
RNA_DNA,S540RD1,U540,NA,UBC_Hunt,AV,NA
RNA_DNA,S581RD1,U581,NA,UBC_Hunt,AV,NA
RNA_DNA,S582RD1,U582,NA,UBC_Hunt,AV,NA
RNA_DNA,S583RD1,U583,NA,UBC_Hunt,AV,NA
RNA_DNA,S584RD1,U584,NA,UBC_Hunt,AV,NA
RNA_DNA,S558RD1,U558,NA,UBC_Hunt,AV,NA
RNA_DNA,S586RD1,U586,NA,UBC_Hunt,AV,NA
RNA_DNA,S564RD1,U564,NA,UBC_Hunt,AV,NA
RNA_DNA,S565RD1,U565,NA,UBC_Hunt,AV,NA
RNA_DNA,S566RD1,U566,NA,UBC_Hunt,AV,NA
RNA_DNA,S557RD1,U557,NA,UBC_Hunt,AV,NA
RNA_DNA,S567RD1,U567,NA,UBC_Hunt,AV,NA
RNA_DNA,S568RD1,U568,NA,UBC_Hunt,AV,NA
RNA_DNA,S569RD1,U569,NA,UBC_Hunt,AV,NA
RNA_DNA,S587RD1,U587,NA,UBC_Hunt,AV,NA
RNA_DNA,S574RD1,U574,NA,UBC_Hunt,AV,NA
RNA_DNA,S589RD1,U589,NA,UBC_Hunt,AV,NA
RNA_DNA,S573RD1,U573,NA,UBC_Hunt,AV,NA
RNA_DNA,S588RD1,U588,NA,UBC_Hunt,AV,NA
RNA_DNA,S572RD1,U572,NA,UBC_Hunt,AV,NA
RNA_DNA,S571RD1,U571,NA,UBC_Hunt,AV,NA
RNA_DNA,S560RD1,U560,NA,UBC_Hunt,AV,NA
RNA_DNA,S559RD1,U559,NA,UBC_Hunt,AV,NA
RNA_DNA,S570RD1,U570,NA,UBC_Hunt,AV,NA
RNA_DNA,S329RD1,U329,NA,UBC_Hunt,AV,NA
RNA_DNA,S330RD1,U330,NA,UBC_Hunt,AV,NA
RNA_DNA,S621RD1,U621,NA,UBC_Hunt,AV,NA
RNA_DNA,S631RD1,U631,NA,UBC_Hunt,AV,NA
RNA_DNA,S632RD1,U632,NA,UBC_Hunt,AV,NA
RNA_DNA,S633RD1,U633,NA,UBC_Hunt,AV,NA
RNA_DNA,S634RD1,U634,NA,UBC_Hunt,AV,NA
RNA_DNA,S590RD1,U590,NA,UBC_Hunt,AV,NA
RNA_DNA,S591RD1,U591,NA,UBC_Hunt,AV,NA
RNA_DNA,S592RD1,U592,NA,UBC_Hunt,AV,NA
RNA_DNA,S593RD1,U593,NA,UBC_Hunt,AV,NA
RNA_DNA,S594RD1,U594,NA,UBC_Hunt,AV,NA
RNA_DNA,S595RD1,U595,NA,UBC_Hunt,AV,NA
RNA_DNA,S596RD1,U596,NA,UBC_Hunt,AV,NA
RNA_DNA,S597RD1,U597,NA,UBC_Hunt,AV,NA
RNA_DNA,S612RD1,U612,NA,UBC_Hunt,AV,NA
RNA_DNA,S611RD1,U611,NA,UBC_Hunt,AV,NA
RNA_DNA,S580RD1,U580,NA,UBC_Hunt,AV,NA
RNA_DNA,S579RD1,U579,NA,UBC_Hunt,AV,NA
RNA_DNA,S578RD1,U578,NA,UBC_Hunt,AV,NA
RNA_DNA,S577RD1,U577,NA,UBC_Hunt,AV,NA
