"Cast PK","Hakai ID","Filename","CTD model","CTD serial number","CTD firmware version","Cruise","Station","Drop number","Start time","Bottom time","Drop time (s)","Drop depth (m)","Target depth (m)","Latitude","Longitude","Operators","Comments","Cast Type","Sensors Submerged","Water Depth (m)","Soak Start","Soak End","Weather"
"14105","080217_2019-06-17T18:21:23.166Z","080217_20190617_1353","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-06-17 11:21:23.166","2019-06-17 11:21:31.166","8","10.884065355460436","10","undefined","undefined","emily.haughton,julian.gan,tyrel.froese,Vanessa Fladmark","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
"14136","018032_2019-06-24T17:25:24.833Z","018032_20190624_1259","XRX-620","018032","6.81","DISOCKEYE","D09","3","2019-06-24 10:25:24.833","2019-06-24 10:26:08.167","43","37.726155647814664","40","undefined","undefined","julian.gan,sam.james,sarah.friesen,Vanessa Fladmark","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""clear"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
"14200","018032_2019-07-02T17:10:34.334Z","018032_20190702_1511","XRX-620","018032","6.81","DISOCKEYE","D09","3","2019-07-02 10:10:34.334","2019-07-02 10:11:07.167","33","32.65018563395972","35","undefined","undefined","krystal.bachen,sam.james,sarah.friesen,tyrel.froese","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""cloudy"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
"14343","080217_2019-07-08T16:45:51.000Z","080217_20190708_1138","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-07-08 09:45:51.000","2019-07-08 09:46:26.667","36","46.489322518521064","50","undefined","undefined","krystal.bachen,sam.james,sarah.friesen,tyrel.froese","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""overcast"",""wind_speed"":""1"",""swell_height"":""0"",""weather_notes"":null}"
"14503","080217_2019-07-22T17:10:23.666Z","080217_20190722_1448","RBRmaestro","080217","1.430","DISOCKEYE","D09","3","2019-07-22 10:10:23.666","2019-07-22 10:11:06.833","43","42.825761651416286","45","undefined","undefined","julian.gan,krystal.bachen,sam.james,tyrel.froese","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""clear"",""wind_speed"":""3"",""swell_height"":""0.5"",""weather_notes"":null}"
"15192","018066_2020-05-26T17:21:41.833Z","018066_20200526_1258","XRX-620","018066","6.81","DISOCKEYE","D09","3","2020-05-26 10:21:41.833","2020-05-26 10:21:54.833","13","16.785602536105927","15","undefined","undefined","isabelle.desmarais,julian.gan,krystal.bachen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""clear"",""wind_speed"":""16"",""swell_height"":null,""weather_notes"":null}"
"15193","018066_2020-05-26T17:50:59.666Z","018066_20200526_1258","XRX-620","018066","6.81","DISOCKEYE","D09","5","2020-05-26 10:50:59.833","2020-05-26 10:51:28.833","29","40.25058032863674","35","undefined","undefined","isabelle.desmarais,julian.gan,krystal.bachen","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""clear"",""wind_speed"":""16"",""swell_height"":null,""weather_notes"":null}"
"15204","018066_2020-06-02T18:18:33.666Z","018066_20200602_1434","XRX-620","018066","6.81","DISOCKEYE","D09","4","2020-06-02 11:18:33.500","2020-06-02 11:19:21.000","48","64.97080198246103","55","undefined","undefined","krystal.bachen,nick.sinclair,tim.vanderstap","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""light_rain"",""wind_speed"":""6"",""swell_height"":""0"",""weather_notes"":null}"
"15205","018066_2020-06-02T18:44:41.833Z","018066_20200602_1434","XRX-620","018066","6.81","DISOCKEYE","D09","6","2020-06-02 11:44:41.833","2020-06-02 11:45:25.333","44","59.752200111583186","50","undefined","undefined","krystal.bachen,nick.sinclair,tim.vanderstap","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""light_rain"",""wind_speed"":""6"",""swell_height"":""0"",""weather_notes"":null}"
"15228","018066_2020-06-08T17:44:08.000Z","018066_20200608_1318","XRX-620","018066","6.81","DISOCKEYE","D09","4","2020-06-08 10:44:18.333","2020-06-08 10:44:31.833","13","18.540107629925206","15","undefined","undefined","julian.gan,krystal.bachen,tim.vanderstap","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""partly_cloudy"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
"15229","018066_2020-06-08T17:57:33.166Z","018066_20200608_1318","XRX-620","018066","6.81","DISOCKEYE","D09","6","2020-06-08 10:57:33.166","2020-06-08 10:58:18.333","45","65.63129950932885","55","undefined","undefined","julian.gan,krystal.bachen,tim.vanderstap","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""partly_cloudy"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
"15249","018066_2020-06-16T17:01:56.667Z","018066_20200616_1221","XRX-620","018066","6.81","DISOCKEYE","D09","4","2020-06-16 10:01:56.834","2020-06-16 10:02:09.501","13","12.876794403483764","10","undefined","undefined","julian.gan,krystal.bachen,nick.sinclair","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""cloudy"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
"15250","018066_2020-06-16T17:08:18.667Z","018066_20200616_1221","XRX-620","018066","6.81","DISOCKEYE","D09","6","2020-06-16 10:08:21.334","2020-06-16 10:08:58.834","38","49.16843128717929","40","undefined","undefined","julian.gan,krystal.bachen,nick.sinclair","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""cloudy"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
