sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,stock_id_quality_flag,stock_id_quality_level,stock_id_quality_log
DS00249,L_ADAMS,4,0.64,L_SHUSWAP,4,0.22,MCKINLEY,3,0.06,BLUE_LEAD_CK,3,0.01,CHILKO-NORTH,3,0.01,PBS,AV,level1,NA
DS00241,SCOTCH,2,0.99,L_ADAMS,4,0.01,SEYMOUR,2,0,EAGLE_L,4,0,NA,NA,NA,PBS,AV,level1,NA
DS00262,L_ADAMS,4,0.49,L_SHUSWAP,4,0.3,CHILKO-NORTH,3,0.11,CHILKO,3,0.07,MIDDLESHUSWAP,4,0.01,PBS,AV,level1,NA
DS00260,"NADINA",2,0.6,PINCHI_CR,3,0.15,TACHIE,3,0.09,KUZKWA_CR,3,0.07,L_ADAMS,4,0.03,PBS,AV,level1,NA
DS00259,BLUE_LEAD_CK,3,0.98,QUESNEL_DECEPT,3,0.01,QUESNEL_HORSEF,3,0,MITCHELL,3,0,CHILKO-NORTH,3,0,PBS,AV,level1,NA
DS00264,L_SHUSWAP,4,0.98,L_ADAMS,4,0.01,MIDDLESHUSWAP,4,0.01,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS00252,L_SHUSWAP,4,0.96,MIDDLESHUSWAP,4,0.02,L_ADAMS,4,0.01,CHILKO,3,0,SCOTCH,2,0,PBS,AV,level1,NA
DS00256,BLUE_LEAD_CK,3,0.95,MITCHELL,3,0.05,CHILKO-NORTH,3,0,MCKINLEY,3,0,WASKO_CR,3,0,PBS,AV,level1,NA
DS00263,CHILKO-NORTH,3,0.36,L_ADAMS,4,0.32,CHILKO,3,0.22,BLUE_LEAD_CK,3,0.1,MCKINLEY,3,0,PBS,AV,level1,NA
DS00265,L_ADAMS,4,0.67,SCOTCH,2,0.24,MCKINLEY,3,0.05,L_SHUSWAP,4,0.04,CHILKO,3,0,PBS,AV,level1,NA
JS00421,QUESNEL_HORSEF,3,0.86,U_HORSEFLY,3,0.1,HORSEFLY,3,0.03,MCKINLEY,3,0,CHILKO,3,0,PBS,AV,level1,NA
JS00425,QUESNEL_HORSEF,3,0.81,U_HORSEFLY,3,0.12,HORSEFLY,3,0.05,MCKINLEY,3,0.01,TACHIE,3,0,PBS,AV,level1,NA
DS01283,HORSEFLY,3,0.64,CHILKO,3,0.11,QUESNEL_HORSEF,3,0.09,L_HORSEFLY,3,0.08,QUESNEL_DECEPT,3,0.06,PBS,AV,level1,NA
DS01288,HORSEFLY,3,0.63,QUESNEL_DECEPT,3,0.23,QUESNEL_HORSEF,3,0.07,BLUE_LEAD_CK,3,0.03,L_HORSEFLY,3,0.03,PBS,AV,level1,NA
DS01285,MIDDLESHUSWAP,4,0.97,EAGLE_L,4,0.03,FREDA_LAKE,15,0,SEYMOUR,2,0,NA,NA,NA,PBS,AV,level1,NA
DS01281,MIDDLESHUSWAP,4,0.9,L_SHUSWAP,4,0.1,EAGLE_L,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS01286,MIDDLESHUSWAP,4,0.98,L_SHUSWAP,4,0.01,EAGLE_L,4,0.01,DUST,1,0,SEYMOUR,2,0,PBS,AV,level1,NA
DS01284,MIDDLESHUSWAP,4,0.9,L_SHUSWAP,4,0.1,EAGLE_L,4,0.01,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS01289,EAGLE_L,4,0.29,MIDDLESHUSWAP,4,0.26,L_SHUSWAP,4,0.21,SEYMOUR,2,0.12,SCOTCH,2,0.05,PBS,AV,level1,NA
DS01282,MIDDLESHUSWAP,4,0.79,L_SHUSWAP,4,0.21,EAGLE_L,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS01290,MIDDLESHUSWAP,4,0.54,L_SHUSWAP,4,0.42,EAGLE_L,4,0.02,SEYMOUR,2,0.01,SCOTCH,2,0,PBS,AV,level1,NA
JS01228,NIMPKISH,7,1,WOSS_LAKE,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS01225,HORSEFLY,3,0.96,MIDDLESHUSWAP,4,0.02,L_HORSEFLY,3,0.01,QUESNEL_HORSEF,3,0,M_HORSEFLY,3,0,PBS,AV,level1,NA
JS01223,L_ADAMS,4,0.99,MIDDLESHUSWAP,4,0.01,LITTLE,4,0,HORSEFLY,3,0,CHILKO,3,0,PBS,AV,level1,NA
DS00464,CHILKO,3,0.51,ROARING,3,0.16,QUESNEL_MITCHE,3,0.12,L_ADAMS,4,0.07,HORSEFLY,3,0.06,PBS,AV,level1,NA
DS00474,HORSEFLY,3,0.44,U_HORSEFLY,3,0.27,QUESNEL_HORSEF,3,0.26,MCKINLEY,3,0.01,L_ADAMS,4,0.01,PBS,AV,level1,NA
DS00469,HORSEFLY,3,0.43,U_HORSEFLY,3,0.28,QUESNEL_HORSEF,3,0.15,CHILKO,3,0.12,MCKINLEY,3,0.01,PBS,AV,level1,NA
DS00479,L_SHUSWAP,4,0.87,SEYMOUR,2,0.1,LITTLE,4,0.01,TACHIE,3,0.01,ROARING,3,0.01,PBS,AV,level1,NA
DS00467,LITTLE,4,0.39,L_ADAMS,4,0.36,L_SHUSWAP,4,0.2,MIDDLESHUSWAP,4,0.03,PORTAGE_CR,4,0.01,PBS,AV,level1,NA
DS00980,MIDDLESHUSWAP,4,0.9,L_SHUSWAP,4,0.1,EAGLE_L,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS00971,MIDDLESHUSWAP,4,0.95,SEYMOUR,2,0.04,L_SHUSWAP,4,0.01,EAGLE_L,4,0,CHILKO,3,0,PBS,AV,level1,NA
DS00973,CHILKO,3,0.74,L_SHUSWAP,4,0.22,EAGLE_L,4,0.04,CHILKO_SOUTH,2,0,MIDDLESHUSWAP,4,0,PBS,AV,level1,NA
DS00972,MIDDLESHUSWAP,4,0.72,CHILKO,3,0.18,L_SHUSWAP,4,0.05,EAGLE_L,4,0.03,QUESNEL_HORSEF,3,0.01,PBS,AV,level1,NA
JS00144,"NADINA",2,0.78,STELLAKO,3,0.22,SEYMOUR,2,0,HUDSON_BAY,1,0,NA,NA,NA,PBS,AV,level1,NA
JS00143,STELLAKO,3,1,KUZKWA_CR,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00139,BIRKENHEAD,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00142,HORSEFLY,3,0.43,U_HORSEFLY,3,0.32,STELLAKO,3,0.12,"NADINA",2,0.06,CHILKO,3,0.05,PBS,AV,level1,NA
JS00140,BIRKENHEAD,3,0.62,CHILKO,3,0.3,SMOKEHOUSE_CK,15,0.05,BIG_SILVER,4,0.02,LONG_LAKE,15,0.01,PBS,AV,level1,NA
JS00137,CHILKO,3,0.99,HORSEFLY,3,0,DUST,1,0,FORFAR,1,0,BLUE_LEAD_CK,3,0,PBS,AV,level1,NA
DS00366,L_ADAMS,4,0.57,LITTLE,4,0.28,L_SHUSWAP,4,0.14,PORTAGE_CR,4,0.01,BIRKENHEAD,3,0,PBS,AV,level1,NA
DS00386,CHILKO,3,0.37,L_ADAMS,4,0.21,SEYMOUR,2,0.14,QUESNEL_HORSEF,3,0.04,SINTA,1,0.04,PBS,AV,level1,NA
DS00368,HORSEFLY,3,0.44,U_HORSEFLY,3,0.28,QUESNEL_HORSEF,3,0.26,M_HORSEFLY,3,0.01,MCKINLEY,3,0,PBS,AV,level1,NA
DS00389,L_ADAMS,4,0.82,LITTLE,4,0.1,L_SHUSWAP,4,0.06,PORTAGE_CR,4,0.02,FENNELL,2,0,PBS,AV,level1,NA
DS00370,L_SHUSWAP,4,0.63,L_ADAMS,4,0.26,LITTLE,4,0.07,SEYMOUR,2,0.02,MIDDLESHUSWAP,4,0.02,PBS,AV,level1,NA
DS00388,L_ADAMS,4,0.49,LITTLE,4,0.37,L_SHUSWAP,4,0.08,U_HORSEFLY,3,0.02,QUESNEL_HORSEF,3,0.01,PBS,AV,level1,NA
DS00379,L_SHUSWAP,4,0.83,LITTLE,4,0.09,L_ADAMS,4,0.06,MIDDLESHUSWAP,4,0.01,SEYMOUR,2,0.01,PBS,AV,level1,NA
DS00383,SEYMOUR,2,0.51,L_ADAMS,4,0.38,LITTLE,4,0.06,L_SHUSWAP,4,0.04,MIDDLESHUSWAP,4,0.01,PBS,AV,level1,NA
DS00160,STELLAKO,3,0.78,TACHIE,3,0.18,"NADINA",2,0.03,SEYMOUR,2,0,EAGLE,2,0,PBS,AV,level1,NA
DS00168,L_SHUSWAP,4,0.86,MIDDLESHUSWAP,4,0.11,DUST,1,0.03,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
