sample_id,sample_type,sample_subtype,ufn,sample_comments
S513CA1,carcass,whole,U513,NA
S514CA1,carcass,whole,U514,NA
S515CA1,carcass,whole,U515,NA
S516CA1,carcass,whole,U516,NA
S517CA1,carcass,whole,U517,NA
S518CA1,carcass,whole,U518,NA
S519CA1,carcass,whole,U519,NA
S520CA1,carcass,whole,U520,NA
S521CA1,carcass,whole,U521,NA
S522CA1,carcass,whole,U522,NA
S523CA1,carcass,whole,U523,NA
S524CA1,carcass,whole,U524,NA
S525CA1,carcass,whole,U525,NA
S526CA1,carcass,whole,U526,NA
S527CA1,carcass,whole,U527,NA
S528CA1,carcass,whole,U528,NA
S529CA1,carcass,whole,U529,NA
S530CA1,carcass,whole,U530,NA
S531CA1,carcass,whole,U531,NA
S532CA1,carcass,whole,U532,NA
S533CA1,carcass,whole,U533,NA
S534CA1,carcass,whole,U534,NA
S535CA1,carcass,whole,U535,NA
S536CA1,carcass,whole,U536,NA
S537CA1,carcass,whole,U537,NA
S538CA1,carcass,whole,U538,NA
S539CA1,carcass,whole,U539,NA
S540CA1,carcass,whole,U540,NA
S541CA1,carcass,whole,U541,NA
S542CA1,carcass,whole,U542,NA
S543CA1,carcass,whole,U543,NA
S544CA1,carcass,whole,U544,NA
S545CA1,carcass,whole,U545,NA
S546CA1,carcass,whole,U546,NA
S547CA1,carcass,whole,U547,NA
S548CA1,carcass,whole,U548,NA
S549CA1,carcass,whole,U549,NA
S550CA1,carcass,whole,U550,NA
S551CA1,carcass,whole,U551,NA
S552CA1,carcass,whole,U552,NA
S553CA1,carcass,whole,U553,NA
S554CA1,carcass,whole,U554,NA
S555CA1,carcass,whole,U555,NA
S556CA1,carcass,whole,U556,NA
S557CA1,carcass,whole,U557,NA
S558CA1,carcass,whole,U558,NA
S559CA1,carcass,whole,U559,NA
S560CA1,carcass,whole,U560,NA
S561CA1,carcass,whole,U561,NA
S562CA1,carcass,whole,U562,NA
S563CA1,carcass,whole,U563,NA
S564CA1,carcass,whole,U564,NA
S565CA1,carcass,whole,U565,NA
S566CA1,carcass,whole,U566,NA
S567CA1,carcass,whole,U567,NA
S568CA1,carcass,whole,U568,NA
S569CA1,carcass,whole,U569,NA
S570CA1,carcass,whole,U570,NA
S571CA1,carcass,whole,U571,NA
S572CA1,carcass,whole,U572,NA
S573CA1,carcass,whole,U573,NA
S574CA1,carcass,whole,U574,NA
S575CA1,carcass,whole,U575,NA
S576CA1,carcass,whole,U576,NA
S577CA1,carcass,whole,U577,NA
S578CA1,carcass,whole,U578,NA
S579CA1,carcass,whole,U579,NA
S580CA1,carcass,whole,U580,NA
S581CA1,carcass,whole,U581,NA
S582CA1,carcass,whole,U582,NA
S583CA1,carcass,whole,U583,NA
S584CA1,carcass,whole,U584,NA
S586CA1,carcass,whole,U586,NA
S587CA1,carcass,whole,U587,NA
S588CA1,carcass,whole,U588,NA
S589CA1,carcass,whole,U589,NA
S590CA1,carcass,whole,U590,NA
S591CA1,carcass,whole,U591,NA
S592CA1,carcass,whole,U592,NA
S593CA1,carcass,whole,U593,NA
S594CA1,carcass,whole,U594,NA
S595CA1,carcass,whole,U595,NA
S596CA1,carcass,whole,U596,NA
S597CA1,carcass,whole,U597,NA
S598CA1,carcass,whole,U598,NA
S599CA1,carcass,whole,U599,NA
S600CA1,carcass,whole,U600,NA
S601CA1,carcass,whole,U601,Fish fell on floor
S602CA1,carcass,whole,U602,NA
S603CA1,carcass,whole,U603,NA
S604CA1,carcass,whole,U604,NA
S605CA1,carcass,whole,U605,NA
S606CA1,carcass,whole,U606,NA
S607CA1,carcass,whole,U607,NA
S608CA1,carcass,whole,U608,NA
S609CA1,carcass,whole,U609,NA
S610CA1,carcass,whole,U610,NA
S611CA1,carcass,whole,U611,NA
S612CA1,carcass,whole,U612,NA
S613CA1,carcass,whole,U613,NA
S614CA1,carcass,whole,U614,NA
S615CA1,carcass,whole,U615,NA
S616CA1,carcass,whole,U616,NA
S617CA1,carcass,whole,U617,NA
