sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
SXM5242,extra_muscle,U4792,NA,NA,AV,NA
SXM5187,extra_muscle,U4737,NA,NA,AV,NA
SXM5243,extra_muscle,U4793,NA,NA,AV,NA
SXM5259,extra_muscle,U4809,NA,NA,AV,NA
SXM5275,extra_muscle,U4825,NA,NA,AV,NA
SXM5244,extra_muscle,U4794,NA,NA,AV,NA
SXM5245,extra_muscle,U4795,NA,NA,AV,NA
SXM5246,extra_muscle,U4796,NA,NA,AV,NA
SXM5247,extra_muscle,U4797,NA,NA,AV,NA
SXM5248,extra_muscle,U4798,NA,NA,AV,NA
SXM5249,extra_muscle,U4799,NA,NA,AV,NA
SXM5188,extra_muscle,U4738,NA,NA,AV,NA
SXM5260,extra_muscle,U4810,NA,NA,AV,NA
SXM5189,extra_muscle,U4739,NA,NA,AV,NA
SXM5261,extra_muscle,U4811,NA,NA,AV,NA
SXM5276,extra_muscle,U4826,NA,NA,AV,NA
SXM5190,extra_muscle,U4740,NA,NA,AV,NA
SXM5277,extra_muscle,U4827,NA,NA,AV,NA
SXM5262,extra_muscle,U4812,NA,NA,AV,NA
SXM5263,extra_muscle,U4813,NA,NA,AV,NA
SXM5264,extra_muscle,U4814,NA,NA,AV,NA
SXM5265,extra_muscle,U4815,NA,NA,AV,NA
SXM5266,extra_muscle,U4816,NA,NA,AV,NA
SXM5267,extra_muscle,U4817,NA,NA,AV,NA
SXM5268,extra_muscle,U4818,NA,NA,AV,NA
SXM5269,extra_muscle,U4819,NA,NA,AV,NA
SXM5191,extra_muscle,U4741,NA,NA,AV,NA
SXM5270,extra_muscle,U4820,NA,NA,AV,NA
SXM5192,extra_muscle,U4742,NA,NA,AV,NA
SXM5271,extra_muscle,U4821,NA,NA,AV,NA
SXM5193,extra_muscle,U4743,NA,NA,AV,NA
SXM5272,extra_muscle,U4822,NA,NA,AV,NA
SXM5194,extra_muscle,U4744,NA,NA,AV,NA
SXM5273,extra_muscle,U4823,NA,NA,AV,NA
SXM5195,extra_muscle,U4745,NA,NA,AV,NA
SXM5298,extra_muscle,U4848,NA,NA,AV,NA
SXM5299,extra_muscle,U4849,NA,NA,AV,NA
SXM5196,extra_muscle,U4746,NA,NA,AV,NA
SXM5300,extra_muscle,U4850,NA,NA,AV,NA
SXM5197,extra_muscle,U4747,NA,NA,AV,NA
SXM5301,extra_muscle,U4851,NA,NA,AV,NA
SXM5198,extra_muscle,U4748,NA,NA,AV,NA
SXM5302,extra_muscle,U4852,NA,NA,AV,NA
SXM5199,extra_muscle,U4749,NA,NA,AV,NA
SXM5303,extra_muscle,U4853,NA,NA,AV,NA
SXM5304,extra_muscle,U4854,NA,NA,AV,NA
SXM5305,extra_muscle,U4855,NA,NA,AV,NA
SXM5306,extra_muscle,U4856,NA,NA,AV,NA
SXM5307,extra_muscle,U4857,NA,NA,AV,NA
SXM5308,extra_muscle,U4858,NA,NA,AV,NA
SXM5309,extra_muscle,U4859,NA,NA,AV,NA
SXM5310,extra_muscle,U4860,NA,NA,AV,NA
SXM5311,extra_muscle,U4861,NA,NA,AV,NA
SXM5313,extra_muscle,U4863,NA,NA,AV,NA
SXM5314,extra_muscle,U4864,NA,NA,AV,NA
SXM5315,extra_muscle,U4865,NA,NA,AV,NA
SXM5316,extra_muscle,U4866,NA,NA,AV,NA
SXM5317,extra_muscle,U4867,NA,NA,AV,NA
SXM5318,extra_muscle,U4868,NA,NA,AV,NA
SXM5319,extra_muscle,U4869,NA,NA,AV,NA
SXM5320,extra_muscle,U4870,NA,NA,AV,NA
SXM5321,extra_muscle,U4871,NA,NA,AV,NA
